Pclass,Age,Fare,Sex_female,Sex_male,Passenger_Id,predicted
3,22.0,7.75,1,0,142,1
2,28.0,13.0,0,1,18,0
3,28.0,7.8958,0,1,43,0
2,24.0,73.5,0,1,656,0
1,62.0,26.55,0,1,556,0
1,50.0,133.65,0,1,661,0
2,40.0,15.75,1,0,162,1
3,35.0,20.25,1,0,280,1
2,30.0,13.0,1,0,748,1
1,47.0,25.5875,0,1,663,0
3,47.0,14.5,1,0,133,0
3,28.0,23.25,1,0,331,0
3,35.0,8.05,0,1,615,0
2,50.0,10.5,1,0,459,1
3,28.0,7.2292,0,1,525,0
1,58.0,29.7,0,1,488,0
3,26.0,56.4958,0,1,510,1
2,4.0,23.0,1,0,751,1
3,2.0,39.6875,0,1,825,0
3,17.0,7.0542,0,1,722,0
1,28.0,35.5,0,1,56,1
2,30.0,24.0,0,1,309,0
3,28.0,14.4,1,0,424,0
3,65.0,7.75,0,1,281,0
1,48.0,25.9292,1,0,863,1
2,19.0,36.75,0,1,146,1
2,28.0,12.35,1,0,304,1
3,23.0,7.55,1,0,650,0
3,30.0,8.05,0,1,158,0
1,28.0,27.7208,0,1,65,0
3,18.0,20.2125,0,1,425,0
1,33.0,90.0,1,0,413,1
3,28.0,7.225,0,1,774,0
1,45.0,164.8667,1,0,857,1
3,18.0,7.8542,0,1,176,0
1,38.0,71.2833,1,0,2,1
1,49.0,56.9292,0,1,600,0
3,9.0,27.9,1,0,635,0
3,2.0,29.125,0,1,17,1
2,28.0,0.0,0,1,733,0
2,25.0,13.0,0,1,135,0
1,48.0,26.55,0,1,461,0
2,3.0,41.5792,1,0,44,1
2,19.0,26.0,1,0,428,1
3,30.0,24.15,1,0,800,1
2,21.0,73.5,0,1,121,0
2,54.0,26.0,0,1,583,0
1,80.0,30.0,0,1,631,0
3,28.0,24.15,0,1,518,0
3,22.0,7.25,1,0,377,1
1,28.0,82.1708,0,1,35,0
3,16.0,20.25,0,1,747,0
3,28.0,7.8292,0,1,553,0
1,50.0,247.5208,1,0,300,1
3,21.0,7.8,0,1,52,1
2,45.0,13.5,1,0,707,1
3,19.0,7.8958,0,1,647,0
3,20.0,7.2292,0,1,763,0
1,22.0,66.6,1,0,152,1
3,18.0,8.05,0,1,205,0
3,30.0,8.6625,1,0,535,1
1,44.0,57.9792,1,0,524,1
3,2.0,21.075,0,1,8,1
3,28.0,7.75,1,0,301,1
1,36.0,26.2875,0,1,513,1
2,42.0,13.0,0,1,289,0
3,34.0,14.4,0,1,617,0
1,33.0,86.5,1,0,760,1
1,36.0,71.0,1,0,541,1
3,20.0,8.6625,0,1,726,0
3,5.0,12.475,1,0,778,1
1,28.0,26.55,0,1,508,0
1,27.0,53.1,0,1,725,1
3,28.0,7.75,1,0,574,1
2,3.0,26.0,0,1,194,1
3,30.0,7.225,0,1,245,0
3,2.0,31.275,1,0,120,0
1,38.0,90.0,0,1,225,0
3,28.0,8.05,0,1,96,0
2,38.0,13.0,1,0,358,1
3,0.75,19.2583,1,0,470,1
1,35.0,135.6333,1,0,270,1
2,19.0,13.0,0,1,192,0
2,42.0,13.0,0,1,150,0
2,29.0,10.5,1,0,67,1
3,26.0,7.8958,0,1,629,0
3,16.0,46.9,1,0,72,0
3,30.0,8.05,0,1,489,0
3,40.0,7.8958,0,1,562,0
3,16.0,7.7333,1,0,157,1
3,28.0,7.75,0,1,429,0
1,19.0,53.1,0,1,749,1
3,21.0,7.925,0,1,174,0
2,28.0,13.0,0,1,343,0
3,47.0,9.0,0,1,874,1
2,18.0,23.0,1,0,652,1
3,22.0,7.75,1,0,290,1
3,22.0,7.8958,0,1,288,0
3,28.0,7.225,1,0,20,1
2,24.0,10.5,0,1,235,0
3,33.0,15.85,1,0,86,0
1,56.0,35.5,0,1,648,0
1,19.0,26.2833,1,0,137,1
3,18.0,7.775,1,0,808,1
2,18.0,13.0,0,1,229,0
3,23.5,7.2292,0,1,297,0
1,17.0,57.0,1,0,782,1
1,21.0,77.9583,1,0,628,1
2,30.0,13.0,0,1,214,0
3,20.0,9.225,0,1,683,0
2,7.0,26.25,1,0,536,1
2,22.0,41.5792,1,0,609,1
3,25.0,7.05,0,1,885,0
1,34.0,26.55,0,1,448,1
3,22.0,7.8958,0,1,522,0
3,30.5,8.05,0,1,815,0
1,16.0,39.4,1,0,854,1
1,49.0,89.1042,0,1,454,0
3,20.0,8.05,0,1,13,1
1,23.0,263.0,1,0,89,1
3,14.0,11.2417,1,0,40,1
3,20.0,7.925,0,1,841,1
2,23.0,13.0,0,1,735,0
