Pclass,Age,Fare,female,male,predicted,Passenger_Id
1,29.7,79.2,1,0,1,257
2,21.0,73.5,0,1,0,121
1,28.0,47.1,0,1,0,84
3,45.5,7.22,0,1,0,204
3,9.0,15.9,0,1,0,490
2,29.0,21.0,0,1,0,118
2,24.0,65.0,1,0,1,616
1,29.7,26.0,0,1,0,285
3,18.0,6.75,1,0,1,655
3,32.0,15.85,0,1,0,207
3,22.0,10.52,1,0,1,883
3,29.7,14.45,1,0,1,241
1,29.7,39.6,0,1,0,767
3,36.0,7.9,0,1,0,190
3,28.0,7.85,0,1,0,282
2,29.0,10.5,1,0,1,67
2,52.0,13.5,0,1,0,696
3,16.0,39.69,0,1,0,267
2,42.0,13.0,0,1,0,289
1,62.0,26.55,0,1,0,253
1,34.0,26.55,0,1,0,448
3,40.5,7.75,0,1,0,526
2,28.0,13.0,0,1,0,343
1,33.0,5.0,0,1,0,873
2,28.0,13.0,1,0,1,444
3,39.0,31.28,1,0,1,611
2,27.0,13.0,0,1,0,222
1,58.0,146.52,1,0,1,196
1,35.0,52.0,1,0,1,384
2,54.0,14.0,0,1,0,318
2,36.0,13.0,0,1,0,345
2,36.0,26.0,1,0,1,519
2,35.0,10.5,0,1,0,813
1,29.0,211.34,1,0,1,731
1,22.0,151.55,1,0,1,709
1,39.0,110.88,1,0,1,582
1,52.0,79.65,0,1,0,263
3,20.0,8.66,0,1,0,726
1,38.0,80.0,1,0,1,62
3,29.7,7.63,1,0,1,503
3,29.7,7.88,1,0,1,359
1,60.0,79.2,0,1,0,588
1,38.0,71.28,1,0,1,2
1,29.7,110.88,1,0,1,307
2,25.0,26.0,1,0,1,881
1,50.0,55.9,0,1,0,435
1,16.0,39.4,1,0,1,854
3,44.0,8.05,0,1,0,604
1,45.0,35.5,0,1,0,340
1,48.0,25.93,1,0,1,863
1,29.7,52.0,0,1,0,476
3,55.5,8.05,0,1,0,153
3,29.7,6.86,0,1,0,412
3,42.0,8.4,0,1,0,198
3,23.0,7.9,0,1,0,754
3,29.7,21.68,0,1,0,49
3,29.7,15.5,1,0,1,613
3,21.0,7.25,0,1,0,492
3,27.0,7.92,1,0,1,217
3,11.0,18.79,0,1,0,732
2,19.0,26.0,1,0,1,428
3,21.0,34.38,1,0,1,437
3,29.7,7.9,0,1,0,411
3,22.0,7.25,1,0,1,377
3,3.0,15.9,0,1,0,349
3,29.7,7.9,0,1,0,879
1,21.0,262.38,1,0,1,743
1,30.0,86.5,1,0,1,258
3,16.0,7.78,0,1,0,765
2,52.0,13.0,0,1,0,715
1,19.0,30.0,1,0,1,888
1,30.0,56.93,1,0,1,310
3,29.7,8.05,0,1,0,78
1,54.0,78.27,1,0,1,497
3,29.7,23.45,0,1,0,784
3,36.0,0.0,0,1,0,180
3,25.0,7.78,0,1,0,268
1,36.0,71.0,1,0,1,541
3,23.5,7.23,0,1,0,297
2,17.0,10.5,1,0,1,85
3,29.7,7.9,0,1,0,336
3,0.75,19.26,1,0,1,645
3,22.0,7.78,1,0,1,555
3,29.0,15.25,1,0,1,256
3,33.0,8.66,0,1,0,286
1,19.0,91.08,1,0,1,292
2,42.0,13.0,1,0,1,866
3,9.0,34.38,1,0,1,148
3,45.0,6.98,0,1,0,130
2,29.7,0.0,0,1,0,467
3,21.0,8.05,0,1,0,495
1,53.0,51.48,1,0,1,572
3,14.0,11.24,1,0,1,40
3,20.0,9.82,1,0,1,114
3,25.0,7.05,0,1,0,885
3,29.7,24.15,0,1,0,518
1,18.0,79.65,1,0,1,586
1,30.0,27.75,0,1,0,453
3,48.0,7.85,0,1,0,772
1,44.0,90.0,0,1,0,246
1,30.0,106.42,1,0,1,538
3,31.0,7.78,0,1,0,806
3,22.0,9.84,1,0,1,475
3,20.0,8.05,0,1,0,13
3,29.7,14.46,0,1,0,496
2,66.0,10.5,0,1,0,34
1,56.0,30.7,0,1,0,175
3,4.0,31.28,0,1,0,851
3,24.0,15.85,1,0,1,143
3,47.0,14.5,1,0,1,133
3,23.0,7.85,0,1,0,834
1,47.0,34.02,0,1,0,516
3,8.0,29.12,0,1,0,788
1,35.0,135.63,1,0,1,270
3,25.0,7.25,0,1,0,786
3,33.0,7.9,0,1,0,131
3,24.0,16.7,1,0,1,395
3,31.0,7.75,0,1,0,750
3,29.7,8.66,0,1,0,159
3,2.0,10.46,1,0,1,206
3,19.0,7.78,0,1,0,380
3,21.0,7.73,0,1,0,422
2,35.0,26.0,0,1,0,21
1,62.0,80.0,1,0,1,830
3,45.0,8.05,0,1,0,339
3,13.0,7.23,1,0,1,781
1,56.0,83.16,1,0,1,880
3,4.0,22.02,1,0,1,185
3,24.0,24.15,0,1,0,566
3,29.7,7.23,0,1,0,860
3,19.0,8.05,0,1,0,373
2,29.7,33.0,1,0,1,597
2,34.0,13.0,1,0,1,577
1,17.0,108.9,1,0,1,308
3,29.7,69.55,0,1,0,202
3,29.7,69.55,1,0,1,864
3,29.7,8.05,0,1,0,838
2,30.0,12.35,1,0,1,323
3,41.0,7.12,0,1,0,762
3,16.0,7.75,1,0,1,209
3,32.0,7.92,0,1,0,383
1,33.0,53.1,1,0,1,810
3,40.5,14.5,0,1,0,154
2,29.7,0.0,0,1,0,278
3,29.7,8.05,1,0,1,565
3,29.7,7.75,1,0,1,594
1,39.0,79.65,1,0,1,559
3,18.0,6.5,0,1,0,372
2,40.0,15.75,1,0,1,162
3,0.75,19.26,1,0,1,470
3,28.0,7.92,0,1,0,393
1,31.0,52.0,0,1,0,672
3,30.5,7.75,1,0,1,768
2,44.0,26.0,0,1,0,237
2,36.0,13.0,1,0,1,388
2,33.0,12.28,0,1,0,240
3,29.7,7.22,0,1,0,355
3,12.0,11.24,0,1,0,126
1,19.0,53.1,0,1,0,749
3,29.7,7.75,0,1,0,197
2,21.0,73.5,0,1,0,73
3,1.0,46.9,0,1,0,387
1,64.0,26.0,0,1,0,546
2,34.0,10.5,1,0,1,517
3,22.0,7.9,0,1,0,522
2,1.0,37.0,0,1,0,828
2,25.0,13.0,0,1,0,667
1,24.0,69.3,1,0,1,370
3,29.7,14.46,1,0,1,579
2,50.0,13.0,0,1,0,724
2,34.0,13.0,0,1,0,22
3,29.7,69.55,1,0,1,793
3,29.7,14.5,0,1,0,761
3,28.5,16.1,0,1,0,736
3,29.7,7.75,0,1,0,460
1,58.0,113.28,0,1,1,660
